node_id,degree,clustering
0,7,0.5238095238095238
1,11,0.34545454545454546
2,4,0.8333333333333334
3,9,0.4166666666666667
4,3,1.0
5,11,0.34545454545454546
6,3,1.0
7,6,0.6
8,8,0.4642857142857143
9,3,1.0
10,6,0.6
11,3,1.0
12,7,0.5238095238095238
13,5,0.7
14,3,1.0
15,5,0.7
16,3,1.0
17,4,0.8333333333333334
18,11,0.34545454545454546
19,5,0.7
20,3,1.0
21,4,0.8333333333333334
22,3,1.0
23,4,0.8333333333333334
24,15,0.2571428571428571
25,4,0.8333333333333334
26,7,0.5238095238095238
27,3,1.0
28,13,0.2948717948717949
29,3,1.0
30,6,0.6
31,3,1.0
32,3,1.0
33,5,0.7
34,3,1.0
35,5,0.7
36,5,0.7
37,6,0.6
38,4,0.8333333333333334
39,3,1.0
40,3,1.0
41,10,0.37777777777777777
42,4,0.8333333333333334
43,8,0.4642857142857143
44,3,1.0
45,5,0.7
46,3,1.0
47,4,0.8333333333333334
48,3,1.0
49,4,0.8333333333333334
50,7,0.5238095238095238
51,3,1.0
52,11,0.34545454545454546
53,5,0.7
54,3,1.0
55,3,1.0
56,3,1.0
57,3,1.0
58,5,0.7
59,3,1.0
60,3,1.0
61,3,1.0
62,3,1.0
63,3,1.0
64,3,1.0
65,3,1.0
66,5,0.7
67,3,1.0
68,4,0.8333333333333334
69,4,0.8333333333333334
70,5,0.7
71,7,0.5238095238095238
72,3,1.0
73,3,1.0
74,4,0.8333333333333334
75,3,1.0
76,3,1.0
77,3,1.0
78,6,0.6
79,3,1.0
80,3,1.0
81,3,1.0
82,3,1.0
83,4,0.8333333333333334
84,4,0.8333333333333334
85,3,1.0
86,3,1.0
87,5,0.7
88,4,0.8333333333333334
89,3,1.0
90,3,1.0
91,4,0.8333333333333334
92,3,1.0
93,4,0.8333333333333334
94,4,0.8333333333333334
95,8,0.4642857142857143
96,7,0.5238095238095238
97,10,0.37777777777777777
98,5,0.7
99,3,1.0
100,3,1.0
101,3,1.0
102,10,0.37777777777777777
103,3,1.0
104,7,0.5238095238095238
105,3,1.0
106,6,0.6
107,3,1.0
108,5,0.7
109,3,1.0
110,9,0.4166666666666667
111,4,0.8333333333333334
112,9,0.4166666666666667
113,3,1.0
114,8,0.4642857142857143
115,4,0.8333333333333334
116,9,0.4166666666666667
117,8,0.4642857142857143
118,3,1.0
119,4,0.8333333333333334
120,4,0.8333333333333334
121,3,1.0
122,3,1.0
123,3,1.0
124,3,1.0
125,6,0.6
126,3,1.0
127,9,0.4166666666666667
128,5,0.7
129,4,0.8333333333333334
130,3,1.0
131,3,1.0
132,4,0.8333333333333334
133,6,0.6
134,3,1.0
135,3,1.0
136,5,0.7
137,4,0.8333333333333334
138,5,0.7
139,5,0.7
140,7,0.5238095238095238
141,4,0.8333333333333334
142,7,0.5238095238095238
143,3,1.0
144,4,0.8333333333333334
145,6,0.6
146,4,0.8333333333333334
147,10,0.37777777777777777
148,4,0.8333333333333334
149,4,0.8333333333333334
150,4,0.8333333333333334
151,12,0.3181818181818182
152,4,0.8333333333333334
153,3,1.0
154,3,1.0
155,3,1.0
156,3,1.0
157,4,0.8333333333333334
158,6,0.6
159,7,0.5238095238095238
160,19,0.2046783625730994
161,19,0.2046783625730994
162,25,0.15666666666666668
163,4,0.8333333333333334
164,8,0.4642857142857143
165,4,0.8333333333333334
166,19,0.2046783625730994
167,3,1.0
168,4,0.8333333333333334
169,3,1.0
170,3,1.0
171,4,0.8333333333333334
172,4,0.8333333333333334
173,10,0.37777777777777777
174,8,0.4642857142857143
175,24,0.16304347826086957
176,3,1.0
177,44,0.08985200845665962
178,3,1.0
179,8,0.4642857142857143
180,3,1.0
181,4,0.8333333333333334
182,4,0.8333333333333334
183,4,0.8333333333333334
184,3,1.0
185,3,1.0
186,4,0.8333333333333334
187,3,1.0
