region_index,ice_value
0,-4.299454933249337
1,-8.67047605047088
2,-0.6050011220829783
3,-9.325595567904355
4,-4.815147668226181
5,-4.301902081533475
6,-0.6993102761766767
7,-1.3542008752084314
8,-3.7326387114618007
9,-5.391348083203942
10,-5.288112743078111
11,-9.590466906101591
12,-3.5201742368344076
13,-4.3823208969488485
14,-6.241693454715267
15,-5.625479792017316
16,-11.771623210199865
17,-4.234113366418866
18,0.5668693248729663
19,-7.528104688530818
20,-1.4522239111488993
21,-7.7356089918937245
22,-3.779580300502237
23,-1.8977976624386264
24,-2.7316348774208223
25,-1.800650544997222
26,-2.756152655400258
27,-5.34816288617052
28,-1.5619351399673986
29,-0.6861566229018738
30,-0.7009641841555427
31,-3.4233276386008655
32,0.676897282114416
33,-0.11092904220423466
34,-1.4025320648969026
35,-0.1762520320175767
36,-0.8348958795492967
37,-2.4455444495193475
38,-2.1793638020801858
39,-2.2626118586668698
40,-1.0204474203103744
41,-0.07253365915871045
42,0.736533942592773
43,0.026482326123220795
44,-0.7593093746857809
45,-4.342988117057756
46,-2.9913615962419375
47,-0.698151933582872
48,-0.26181987871031176
49,-2.528563576191601
50,-1.8805932730293253
51,-1.1323113649649796
52,-4.750571735737697
53,-1.609299446215438
54,-3.270380506325568
55,-0.9978752896050287
56,-0.4535978515630789
57,-3.0862713879699024
58,-2.887559704635859
59,-1.1911299247831022
60,-0.5588276070102052
61,-0.9458159018739385
62,-0.2644251703018724
63,0.22831440691093938
64,-0.9418427415422562
65,0.35260045188872435
66,-6.604776409548396
67,-0.522882847195138
68,-0.616127613766569
69,-2.2849087425713916
70,-1.5380050598637975
71,-1.7219880968144208
72,-1.1253336530014113
73,-0.2879463452735648
74,-0.4663849106978314
75,0.8685916056653631
76,0.6403853702135213
77,0.3492595748324153
78,-1.0790150471080235
79,0.7280077871212272
80,0.32600331571817825
81,-1.8091985310365901
82,0.5829630519409422
83,-0.19041784878894286
84,0.6270668497378011
85,-2.115363074151808
86,0.1878679267079293
87,0.5145644293267032
88,0.3821158297492907
89,0.6304732246667448
